Timestamp,Baseline,Cost-Optimized,Balanced,PV Generation,Rule-Based
2017-01-20 00:00:00+00:00,,,,,
2017-01-20 01:00:00+00:00,,,,,
2017-01-20 02:00:00+00:00,,,,,
2017-01-20 03:00:00+00:00,,,,,
2017-01-20 04:00:00+00:00,,,,,
2017-01-20 05:00:00+00:00,,,,,
2017-01-20 06:00:00+00:00,,,,,
2017-01-20 07:00:00+00:00,,,,,
2017-01-20 08:00:00+00:00,,,,,
2017-01-20 09:00:00+00:00,,,,,
2017-01-20 10:00:00+00:00,,,,,
2017-01-20 11:00:00+00:00,,,,,
2017-01-20 12:00:00+00:00,,,,,
2017-01-20 13:00:00+00:00,,,,,
2017-01-20 14:00:00+00:00,,,,,
2017-01-20 15:00:00+00:00,,,,,
2017-01-20 16:00:00+00:00,,,,,
2017-01-20 17:00:00+00:00,,,,,
2017-01-20 18:00:00+00:00,,,,,
2017-01-20 19:00:00+00:00,,,,,
2017-01-20 20:00:00+00:00,,,,,
2017-01-20 21:00:00+00:00,,,,,
2017-01-20 22:00:00+00:00,,,,,
2017-01-20 23:00:00+00:00,,,,,
2017-01-23 00:00:00+00:00,,,,,
2017-01-23 01:00:00+00:00,,,,,
2017-01-23 02:00:00+00:00,,,,,
2017-01-23 03:00:00+00:00,,,,,
2017-01-23 04:00:00+00:00,,,,,
2017-01-23 05:00:00+00:00,,,,,
2017-01-23 06:00:00+00:00,,,,,
2017-01-23 07:00:00+00:00,,,,,
2017-01-23 08:00:00+00:00,,,,,
2017-01-23 09:00:00+00:00,,,,,
2017-01-23 10:00:00+00:00,,,,,
2017-01-23 11:00:00+00:00,,,,,
2017-01-23 12:00:00+00:00,,,,,
2017-01-23 13:00:00+00:00,,,,,
2017-01-23 14:00:00+00:00,,,,,
2017-01-23 15:00:00+00:00,,,,,
2017-01-23 16:00:00+00:00,,,,,
2017-01-23 17:00:00+00:00,,,,,
2017-01-23 18:00:00+00:00,,,,,
2017-01-23 19:00:00+00:00,,,,,
2017-01-23 20:00:00+00:00,,,,,
2017-01-23 21:00:00+00:00,,,,,
2017-01-23 22:00:00+00:00,,,,,
2017-01-23 23:00:00+00:00,,,,,
2017-01-24 00:00:00+00:00,,,,,
2017-01-24 01:00:00+00:00,,,,,
2017-01-24 02:00:00+00:00,,,,,
2017-01-24 03:00:00+00:00,,,,,
2017-01-24 04:00:00+00:00,,,,,
